text,candidate,source,channel
Ghanti IT CELl  le yo video bhetayako chaina ki kyaho... 😂😂😂😂😂😂 ..,mina kharel,yt:Mina Kharel,comment
best wishes did great thinking  great leader ❤❤❤,mina kharel,yt:Mina Kharel,comment
🇳🇵🏝️🏝️🏝️👍👍👍,mina kharel,yt:Mina Kharel,comment
Jit dhukha cha Jaya ghanti Jaya balen Jaya rabi Jaya RSP 🔔🔔🔔😊,mina kharel,yt:Mina Kharel,comment
सहज रुपमा जित्छ्न् ।,mina kharel,yt:Mina Kharel,comment
🔔🔔🇳🇵,mina kharel,yt:Mina Kharel,comment
🇳🇵🇳🇵🇳🇵🔔🔔🔔🔔रबि जे बोल्छन् एकदम सही र सत्य बोल्न छ्न रबि को घाउँ नबिसाएको भए रबि चुप बस्ने राज नेता होइन उनि बोल्न जनता को चिन्तन मनन् गरिरहेने सच्चा देश भक्त नेपाल आमा को बहादुर छोरो हुन्।,mina kharel,yt:Mina Kharel,comment
Bless everyone god 💙💕❤️,mina kharel,yt:Mina Kharel,comment
"जय रवी,जय घन्टी,अब देशले परीवर्तन चाहेको छ।",mina kharel,yt:Mina Kharel,comment
रबि को जित पक्का पक्की छ !🔔✅,mina kharel,yt:Mina Kharel,comment
Jay rabi jay ghanti jay nepali,mina kharel,yt:Mina Kharel,comment
💡💡,mina kharel,yt:Mina Kharel,comment
बिचरा उठ्ने कोही नभए पछि समाजसेवा गरेर बसेको मिना दिदी लाई सहीद बनाउने भय,mina kharel,yt:Mina Kharel,comment
Satya Aakhira Satya Nai Ho Dhulo Chado Prashta Hunchha Tyahi Satya Dhakna Khojne Bhrashtam Bhayera Nashta Hunchha Satya Ho,mina kharel,yt:Mina Kharel,comment
हाइलाट ले रबिलाइ मतलब हुदैन। रबि जनताको हेडलाईन बदल्न आएको निलो क्रान्ति सर्बोच्च कमान्डर हुन रबि लामिछाने 🔔🔔🔔✊✅,mina kharel,yt:Mina Kharel,comment
No rabi and balan we need king Jay desh jay neresh jay Nepal 🇳🇵👑👑👑👑👑👑 make king news,mina kharel,yt:Mina Kharel,comment
"मिना खरेल राम्रै नेतृ हुनुहुन्छ होला तर वहाँ को सङ्गठन राम्रो छैन ! 
तसर्थ रबि लामिछाने ( घण्टी ) नै बिजयी हुनेछन ! 
जय घण्टी 🔔",mina kharel,yt:Mina Kharel,comment
"म स्वयॅं त्रि.वि शिक्षण अस्पतालमा गएर भेटेर आएको,खुट्टा fracture भएको रहेछ-टिकाराम यात्री
खुट्टाको छालामा सॅंक्रमण-शिलापत्र",mina kharel,yt:Mina Kharel,comment
रविलाई घरि घरि जिताएर बालुवामा पानी खन्याउँछन्? मिनाले जित्नु राम्राे। ठगीकाे मुद्दा खेपेकाे रविभन्दा पढेकी निस्वार्थ समाजसेवी मिना कयाैँ गुणा गतिली।,mina kharel,yt:Mina Kharel,comment
jay nepal om शान्ति अगृम बधाई  तथा  हार्दिक  शुभकामना ❤❤❤❤❤,mina kharel,yt:Mina Kharel,comment
"Balen prime minister
Ravi home minister
Harka defense minister 
Kulman Transport minister. ❤ you all.",mina kharel,yt:Mina Kharel,comment
Khai ma pani ctn 2 ko basinda ho maileta pahila namai suneko thiyanata,mina kharel,yt:Mina Kharel,comment
Nice joke😂😂😂,mina kharel,yt:Mina Kharel,comment
Joke of the week !! 😆😆,mina kharel,yt:Mina Kharel,comment
Rabi sita k vidthi haso lagxa,mina kharel,yt:Mina Kharel,comment
Mawabadi ko reports herda haso lakxa 😂,mina kharel,yt:Mina Kharel,comment
ALL OLD POLITICAL PARTIES ARE OUT OF DATE,mina kharel,yt:Mina Kharel,comment
Aba congressle jitnu parcha,mina kharel,yt:Mina Kharel,comment
