text,candidate,outlet,published,weight,script,channel
Vijay Kumar Gachhadar Urges Gagan Kumar Thapa to Unite Nepali Congress,gagan thapa,Ratopati,2026-07-22 01:15:00+00:00,0.2316,latin,news
Gagan Thapa States BP Koirala's Concept of Nationalizing Natural Resources,gagan thapa,Ratopati,2026-07-22 01:15:00+00:00,0.2316,latin,news
Senior Nepali Congress leaders urge party president Gagan Thapa to end internal rift,gagan thapa,Nepalnews.com,2026-07-22 01:15:00+00:00,0.1801,latin,news
Gagan Thapa Highlights BP Koirala's Concept of Natural Resource Nationalization,gagan thapa,Hamro Patro,2026-07-21 22:03:48+00:00,0.1777,latin,news
Gagan Thapa Emphasizes Republic Day for Nepal's Transformation,gagan thapa,Ratopati,2026-07-21 07:49:43+00:00,0.2155,latin,news
Gagan Thapa welcomes govt’s decision to scrap 3% equity tax on education and health,gagan thapa,Khabarhub,2026-07-21 01:15:00+00:00,0.1631,latin,news
Gagan Thapa welcomes withdrawal of parity tax on education and health,gagan thapa,Nepalnews.com,2026-07-21 01:15:00+00:00,0.1631,latin,news
Gagan Thapa States Krishna Prasad Bhattarai's 'Saintly Leader' Title Will Endure,gagan thapa,Ratopati,2026-07-19 02:40:39+00:00,0.1731,latin,news
"Madhav Nepal falls ill, Prachanda-Gagan talks postponed",gagan thapa,Khabarhub,2026-07-19 01:15:00+00:00,0.1338,latin,news
NC will not repeat past mistakes for power: Gagan Thapa,gagan thapa,Khabarhub,2026-07-19 01:15:00+00:00,0.1338,latin,news
Gagan Thapa Criticizes Parliament Without Opposition,gagan thapa,Hamro Patro,2026-07-19 01:15:00+00:00,0.1338,latin,news
Gagan Thapa advocates for stronger federalism and local autonomy,gagan thapa,Nepalnews.com,2026-07-19 01:15:00+00:00,0.1338,latin,news
"Gagan Thapa Mourns Death of Dr. Devendra Raj Pandey, Praises His Contributions",gagan thapa,Ratopati,2026-07-18 01:15:00+00:00,0.1558,latin,news
"Gagan Thapa pays tribute to Devendra Raj Pandey, calls him a defender of democracy",gagan thapa,Khabarhub,2026-07-18 01:15:00+00:00,0.1212,latin,news
Gagan Thapa and Prachanda discuss new power equation as NC moves away from UML,gagan thapa,Khabarhub,2026-07-17 01:15:00+00:00,0.1098,latin,news
Gagan Thapa pledges support for education of children of Sarlahi self-immolation victim,gagan thapa,Khabarhub,2026-07-14 01:15:00+00:00,0.0816,latin,news
Gagan Thapa’s residence blocked by purposely parked vehicle,gagan thapa,Nepalnews.com,2026-07-13 01:15:00+00:00,0.0739,latin,news
"Government attempting to silence dissent, claims Gagan Thapa",gagan thapa,Nepalnews.com,2026-07-13 01:15:00+00:00,0.0739,latin,news
"Gagan Thapa alleges government involvement in vehicles parked outside media houses, his residence",gagan thapa,Khabarhub,2026-07-13 01:15:00+00:00,0.0739,latin,news
Congress Internal Dispute: Gagan Thapa's Stance on Membership and Central Committee Adjustment Sparks Controversy,gagan thapa,Ratopati,2026-07-10 01:15:00+00:00,0.0706,latin,news
Gagan Thapa Criticizes Government's Constitution Amendment Approach,gagan thapa,Ratopati,2026-07-09 05:53:50+00:00,0.0652,latin,news
Priority for constitutional amendments must be set: Gagan Thapa,gagan thapa,Nepalnews.com,2026-07-09 01:15:00+00:00,0.0497,latin,news
Prachanda States Leftist Movement Weakened by Power Struggles,prachanda,Ratopati,2026-08-03 11:06:23+00:00,0.7914,latin,news
‘When I’m dead’: Furious Prachanda snaps over political instability question,prachanda,Nepalnews.com,2026-08-03 07:41:08+00:00,0.6069,latin,news
Prachanda off to Colombo for Asian Left Alliance Summit,prachanda,Nepal Khabar,2026-08-02 18:15:00+00:00,0.5741,latin,news
Prachanda urges Prime Minister Shah to address Parliament,prachanda,Khabarhub,2026-07-30 06:07:32+00:00,0.4058,latin,news
"NCP parliamentary leader Prachanda stresses seeking solution through dialogue, consensus",prachanda,The Rising Nepal,2026-07-30 05:24:50+00:00,0.4046,latin,news
Prachanda honors Chinese climber and Sherpa guides for dual Everest-Lhotse ascent,prachanda,Nepalnews.com,2026-07-30 02:48:35+00:00,0.4003,latin,news
